Accession,Gene name,adj.pvalue_M9,adj.pvalue_M10,NRPD1-WT-1A,NRPD1-WT-1B,NRPD1-WT-2A,NRPD1-WT-2B,NRPD1-WT-3A,NRPD1-WT-3B,NRPD1-MUT1-1A,NRPD1-MUT1-1B,NRPD1-MUT1-2A,NRPD1-MUT1-2B,NRPD1-MUT1-3A,NRPD1-MUT1-3B,NRPD1-MUT2-1A,NRPD1-MUT2-1B,NRPD1-MUT2-2A,NRPD1-MUT2-2B,NRPD1-MUT2-3A,NRPD1-MUT2-3B
AT1G63020.1,NRPD1,1,2.15E-05,140,150,134,128,170,199,130,140,153,148,134,108,231,159,229,219,235,234
AT3G23780.1,NRPD2,6.25E-01,7.93E-02,103,109,99,111,123,154,95,82,84,110,95,62,147,112,146,140,137,164
AT2G15430.1,NRPD3a,9.94E-01,2.15E-02,33,34,31,23,37,38,27,29,31,34,28,16,44,16,46,43,47,43
AT2G15400.1,NRPD3b,1.00E+00,2.15E-02,20,15,16,11,22,23,16,18,20,18,14,6,29,8,31,29,30,22
AT4G15950.1,NRPD4,7.96E-01,6.07E-01,15,12,13,12,14,12,8,13,13,11,8,7,20,9,15,12,16,9
AT3G22320.1,NRPD5a,1.00E+00,4.07E-04,23,21,20,21,33,29,32,17,21,24,27,16,49,24,30,32,39,34
AT2G41340.1,NRPD5b,6.25E-01,1.00E+00,14,9,13,11,16,14,10,6,11,15,5,6,15,6,12,11,10,13
AT2G04630.1,NRPD6b ,6.25E-01,1.00E+00,0,2,3,1,2,4,3,3,2,4,3,2,1,0,3,2,3,0
AT3G22900.1,NRPD7a,6.25E-01,6.07E-01,12,14,15,9,20,11,8,12,13,9,10,7,14,6,14,15,20,16
AT4G14660.1,NRPD7b,2.03E-01,1.12E-02,0,0,0,0,3,2,0,0,0,0,0,0,8,0,5,4,4,3
AT3G59600.1,NRPD8b,4.66E-01,8.37E-01,5,5,4,0,6,4,1,2,4,3,1,0,8,0,5,5,4,3
AT3G16980.1,NRPD9a,1.36E-01,1.00E+00,7,5,8,3,8,6,1,1,3,3,1,5,7,5,4,4,5,4
AT4G16265.1,NRPD9b,9.83E-01,1.02E-01,6,5,4,2,10,7,4,5,5,4,2,6,21,6,8,12,6,7
AT1G11475.1,NRPD10 ,8.00E-01,9.30E-01,7,4,3,5,5,6,4,4,3,4,4,2,6,0,6,8,3,6
AT3G52090.2,NRPD11,6.91E-01,4.49E-02,8,8,8,6,12,5,4,7,6,6,5,5,10,11,14,17,11,11
AT5G41010.1,NRPD12 ,2.76E-01,5.52E-01,1,0,0,1,1,1,0,0,0,0,0,0,3,0,1,3,1,1
AT4G11130.1,RDR2 ,8.07E-03,1.00E+00,68,77,72,61,98,83,47,42,54,50,34,35,76,43,61,69,70,63
AT3G42670.1,CLSY1,1.30E-16,2.64E-15,9,12,13,8,12,15,0,0,0,0,0,0,0,0,0,0,0,0
AT5G20420.1,CLSY2,3.47E-09,1.18E-08,7,8,6,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0
AT1G05490.1,CLSY3,1.09E-10,5.79E-10,6,7,5,7,12,14,0,0,0,0,0,0,0,0,0,0,0,0
AT3G24340.1,CLSY4,0.002748285,0.008677983,0,2,3,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0
AT1G15215.2,SHH1,0.093553921,0.157527681,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0